n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
8,1.2,1.0,0.15,5,5,False,0.0,0.0,80,0.9217565615900974,0.9894995228567316,0.9208024301793216,0.9486078102957414
8,1.2,1.0,0.15,5,5,False,0.0,0.005,80,0.9554998145983792,0.9807372797021008,0.9753090998977364,0.9954554494492538
8,1.2,1.0,0.15,5,5,False,0.005,0.0,80,0.9737669777772052,0.9933969694540086,0.9913108793769349,0.9873411474118716
8,1.2,1.0,0.15,5,5,False,0.005,0.005,80,1.0025194772407489,0.9944161139257196,1.0122153276484422,0.9800819330167654
8,1.2,1.0,0.2,5,5,False,0.0,0.0,80,0.9584058889080016,0.9707932243574336,0.9642998537388874,0.9775945600171168
8,1.2,1.0,0.2,5,5,False,0.0,0.005,80,0.9591973374872808,0.9840143455379056,0.9609115320529492,0.98105674085545
8,1.2,1.0,0.2,5,5,False,0.005,0.0,80,0.9479537001475888,0.9843943744834612,1.0410360187548169,1.01258857338991
8,1.2,1.0,0.2,5,5,False,0.005,0.005,80,1.0156695281519037,0.9948175349734912,0.9671442248653416,0.9712874596152417
8,1.2,1.0,0.25,5,5,False,0.0,0.0,80,0.9230399205122076,0.959816979290609,1.078032261684578,1.001743846563958
8,1.2,1.0,0.25,5,5,False,0.0,0.005,80,1.0063055305545023,0.9928800125876144,0.9934516041735688,0.9847970855396084
8,1.2,1.0,0.25,5,5,False,0.005,0.0,80,0.9971164165875016,1.0009625189523137,1.0356827841934104,1.0004509417372751
