source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
376,tent_mu1.653_s016,chaotic_map,forecast,3016,800,2,0.9405470713503394,0.5374871107688658,0.19365495113943426,0.40305996058147364,0.7468921202109051,-0.34383215962943153,-0.34383215962943153,60,6,5,5,0
377,tent_mu1.994_s017,chaotic_map,forecast,3017,800,1,0.9983909708757802,0.525246121074882,0.667067545167054,0.4731448498008982,0.3313234257087262,0.14182142409217202,0.14182142409217202,60,6,5,5,0
378,tent_mu1.718_s018,chaotic_map,forecast,3018,800,2,0.9526170927076656,0.6061213155692045,0.19892950973952628,0.34649577713846114,0.7536875829681393,-0.4071918058296782,-0.4071918058296782,60,6,5,5,0
379,tent_mu1.933_s019,chaotic_map,forecast,3019,800,1,0.8846066875742445,0.4754978689892489,0.6140864693454997,0.40910881858499565,0.27052021822874484,0.1385886003562508,0.1385886003562508,60,6,5,5,0
380,sine_map_a0.818_s000,chaotic_map,forecast,3100,800,186,3.532254777055999e-09,8.436219327079617e-06,6.8583929969442485e-12,-8.43268707230256e-06,3.525396384059055e-09,-8.43621246868662e-06,-8.43621246868662e-06,60,6,5,5,0
381,sine_map_a0.874_s001,chaotic_map,forecast,3101,800,186,0.3074326165331865,0.33252199465525334,0.355992593717651,-0.025089378122066852,-0.04855997718446453,0.02347059906239768,0.02347059906239768,60,6,5,5,0
382,sine_map_a0.856_s002,chaotic_map,forecast,3102,800,186,9.146617618163104e-08,0.0056185451194772995,7.736516181667326e-10,-0.005618453653301118,9.069252456346431e-08,-0.005618544345825681,-0.005618544345825681,60,6,5,5,0
383,sine_map_a0.908_s003,chaotic_map,forecast,3103,800,4,0.9520537200223896,0.6674384950199335,0.6104176605255697,0.2846152250024562,0.34163605949681997,-0.05702083449436379,-0.05702083449436379,60,6,5,5,0
384,sine_map_a0.828_s004,chaotic_map,forecast,3104,800,186,3.5299641157474262e-09,1.6505971733130816e-05,8.120509623018677e-12,-1.650244176901507e-05,3.5218436061244074e-09,-1.6505963612621193e-05,-1.6505963612621193e-05,60,6,5,5,0
385,sine_map_a0.900_s005,chaotic_map,forecast,3105,800,4,0.9291496951251452,0.6551260505809234,0.5673893499561152,0.2740236445442218,0.36176034516903,-0.0877367006248082,-0.0877367006248082,60,6,5,5,0
386,sine_map_a0.968_s006,chaotic_map,forecast,3106,800,2,1.0080171302692338,0.557577923773244,0.2379665645541682,0.4504392064959898,0.7700505657150656,-0.3196113592190758,-0.3196113592190758,60,6,5,5,0
387,sine_map_a0.979_s007,chaotic_map,forecast,3107,800,1,0.8537888329731855,0.519681630384877,0.4691792070361001,0.3341072025883085,0.3846096259370854,-0.050502423348776915,-0.050502423348776915,60,6,5,5,0
388,sine_map_a0.966_s008,chaotic_map,forecast,3108,800,2,0.9236629280312888,0.5464147937058287,0.2245208054060885,0.3772481343254601,0.6991421226252004,-0.3218939882997402,-0.3218939882997402,60,6,5,5,0
389,sine_map_a0.946_s009,chaotic_map,forecast,3109,800,148,0.0504174938023802,0.18606819039867578,0.05673720819418882,-0.13565069659629558,-0.006319714391808624,-0.12933098220448697,-0.12933098220448697,60,6,5,5,0
390,sine_map_a0.931_s010,chaotic_map,forecast,3110,800,2,0.920061689003942,0.5721749272528727,0.2524881186486268,0.34788676175106936,0.6675735703553152,-0.31968680860424586,-0.31968680860424586,60,6,5,5,0
391,sine_map_a0.783_s011,chaotic_map,forecast,3111,800,186,3.532897367776437e-09,8.436222112494706e-06,6.858201449797681e-12,-8.432689215126929e-06,3.526039166326639e-09,-8.436215254293257e-06,-8.436215254293257e-06,60,6,5,5,0
392,sine_map_a0.844_s012,chaotic_map,forecast,3112,800,186,7.648716865111544e-07,0.00019956164284927976,1.6638342484887887e-09,-0.0001987967711627686,7.632078522626656e-07,-0.00019955997901503127,-0.00019955997901503127,60,6,5,5,0
393,sine_map_a0.805_s013,chaotic_map,forecast,3113,800,186,3.531736090666197e-09,8.436221946937065e-06,6.857983690970059e-12,-8.432690210846398e-06,3.524878106975227e-09,-8.436215088953374e-06,-8.436215088953374e-06,60,6,5,5,0
394,sine_map_a0.912_s014,chaotic_map,forecast,3114,800,2,6.071533417683225e-08,0.23432719356783133,0.027800385470591594,-0.23432713285249715,-0.027800324755257417,-0.20652680809723972,-0.20652680809723972,60,6,5,5,0
395,sine_map_a0.791_s015,chaotic_map,forecast,3115,800,186,3.531608513957373e-09,1.6505970879886915e-05,8.121722217216974e-12,-1.6502439271372958e-05,3.5234867917401557e-09,-1.6505962758164697e-05,-1.6505962758164697e-05,60,6,5,5,0
396,sine_map_a0.937_s016,chaotic_map,forecast,3116,800,2,0.8466977757099403,0.5428019049134779,0.1502437581013079,0.3038958707964624,0.6964540176086325,-0.39255814681217,-0.39255814681217,60,6,5,5,0
397,sine_map_a0.888_s017,chaotic_map,forecast,3117,800,186,0.4520266804463685,0.45057492384575787,0.4428418199854446,0.001451756600610643,0.009184860460923927,-0.007733103860313284,-0.007733103860313284,60,6,5,5,0
398,sine_map_a0.995_s018,chaotic_map,forecast,3118,800,1,0.9202212843207168,0.6100956496932022,0.5985438583384445,0.31012563462751463,0.32167742598227234,-0.011551791354757701,-0.011551791354757701,60,6,5,5,0
399,sine_map_a0.865_s019,chaotic_map,forecast,3119,800,186,4.826753139667314e-07,0.03866168892842049,0.03718455803190457,-0.038661206253106525,-0.0371840753565906,-0.001477130896515924,-0.001477130896515924,60,6,5,5,0
400,circle_map_k0.78_s000,chaotic_map,forecast,3200,800,1,0.098427623905314,0.44486558164894807,0.40147603580859326,-0.34643795774363406,-0.30304841190327925,-0.043389545840354815,-0.043389545840354815,60,6,5,5,0
401,circle_map_k1.46_s001,chaotic_map,forecast,3201,800,186,3.534132292935037e-09,8.436223412491612e-06,6.8608877676495735e-12,-8.432689280198676e-06,3.5272714051673878e-09,-8.436216551603843e-06,-8.436216551603843e-06,60,6,5,5,0
402,circle_map_k0.48_s002,chaotic_map,forecast,3202,800,1,0.2561987896187928,0.458616544727227,0.5241349050097579,-0.20241775510843424,-0.2679361153909651,0.06551836028253089,0.06551836028253089,60,6,5,5,0
403,circle_map_k0.54_s003,chaotic_map,forecast,3203,800,1,0.2874740770950471,0.39221572314451186,0.38288953953418575,-0.10474164604946479,-0.09541546243913868,-0.009326183610326111,-0.009326183610326111,60,6,5,5,0
404,circle_map_k1.14_s004,chaotic_map,forecast,3204,800,1,1.5215366543552245e-07,0.0006406309293196033,3.0342325682198396e-07,-0.0006404787756541677,-1.512695913864615e-07,-0.0006403275060627813,-0.0006403275060627813,60,6,5,5,0
405,circle_map_k0.96_s005,chaotic_map,forecast,3205,800,3,0.3515863679095728,0.47938930734554985,0.45649293236851846,-0.12780293943597704,-0.10490656445894564,-0.022896374977031397,-0.022896374977031397,60,6,5,5,0
406,circle_map_k0.65_s006,chaotic_map,forecast,3206,800,1,0.0362199991437476,0.4516553338576916,0.3033808806037352,-0.415435334713944,-0.2671608814599876,-0.14827445325395638,-0.14827445325395638,60,6,5,5,0
407,circle_map_k0.86_s007,chaotic_map,forecast,3207,800,1,0.3164204956910803,0.5045136542924906,0.44477748038707826,-0.18809315860141035,-0.128356984695998,-0.05973617390541236,-0.05973617390541236,60,6,5,5,0
